modo,parametro_valor,prompt_id,tiempo_s,exito,error_sintactico,error_coherencia,reglas_incumplidas,notas
temperatura,0.4,8,31.49,True,False,False,,
temperatura,0.4,9,30.51,True,False,False,,
temperatura,0.4,10,32.36,True,False,False,,
temperatura,0.4,11,49.44,True,False,False,,
temperatura,0.4,12,30.01,True,False,False,,
temperatura,0.4,13,36.19,True,False,False,,
temperatura,0.4,14,31.35,True,False,False,,
temperatura,0.4,15,5.74,False,False,True,,"[ERROR API] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
temperatura,0.4,16,34.01,True,False,False,,
temperatura,0.4,17,32.59,True,False,False,,
temperatura,0.4,18,29.7,True,False,False,,
temperatura,0.4,19,32.93,True,False,False,,
temperatura,0.4,20,33.41,True,False,False,,
temperatura,0.5,1,40.7,True,False,False,,
temperatura,0.5,2,45.34,True,False,False,,
temperatura,0.5,3,31.43,True,False,False,,
temperatura,0.5,4,45.89,True,False,False,,
temperatura,0.5,5,42.52,True,False,False,,
temperatura,0.5,6,39.12,True,False,False,,
temperatura,0.5,7,39.63,True,False,False,,
temperatura,0.5,8,58.72,True,False,False,,
temperatura,0.5,9,25.0,False,True,False,,"VALIDATION_ERROR: La petición de ancho de banda de 20 MHz es incompatible con la Regla 6 (Bloque ru_sdr INMUTABLE). El 'srate' de 11.52e6 en la plantilla base solo soporta un ancho de banda máximo de 10 MHz con un SCS de 15kHz. Para 20 MHz, se requeriría un 'srate' diferente que no puede ser modificado."
temperatura,0.5,10,35.12,True,False,False,,
temperatura,0.5,11,38.19,True,False,False,,
temperatura,0.5,12,36.54,True,False,False,,
temperatura,0.5,13,33.57,True,False,False,,
temperatura,0.5,14,40.54,True,False,False,,
temperatura,0.5,15,31.92,True,False,False,,
temperatura,0.5,16,32.08,True,False,False,,
temperatura,0.5,17,32.45,True,False,False,,
temperatura,0.5,18,38.31,True,False,False,,
temperatura,0.5,19,35.78,False,True,False,,"VALIDATION_ERROR: La configuración solicitada (20 MHz de ancho de banda) es inconsistente con el bloque 'ru_sdr' inmutable de la plantilla base 'gnb_zmq.yaml'. El 'srate' especificado en 'ru_sdr' es 11.52 MHz, el cual es adecuado para 10 MHz de ancho de banda, no para 20 MHz. No se pueden generar archivos funcionales que cumplan ambas condiciones."
temperatura,0.5,20,33.28,True,False,False,,
temperatura,0.6,1,38.98,True,False,False,,
temperatura,0.6,2,28.3,True,False,False,,
temperatura,0.6,3,32.02,True,False,False,,
temperatura,0.6,4,307.24,True,False,False,,
temperatura,0.6,5,32.22,True,False,False,,
temperatura,0.6,6,48.59,False,True,False,,"VALIDATION_ERROR: El ancho de banda solicitado (20 MHz) no es compatible con el `srate` inmutable de 11.52e6 definido en el bloque `ru_sdr` del template `gnb_zmq.yaml`. Para un `srate` de 11.52e6 (y SCS de 15 kHz), el ancho de banda máximo soportado es de 10 MHz. Por favor, ajuste su petición a 10 MHz."
temperatura,0.6,7,33.16,True,False,False,,
temperatura,0.6,8,31.89,True,False,False,,
temperatura,0.6,9,30.64,True,False,False,,
temperatura,0.6,10,25.49,False,True,False,,"VALIDATION_ERROR: El ancho de banda solicitado (20 MHz) es incompatible con la configuración del bloque `ru_sdr`. Según la REGLA 6, el bloque `ru_sdr` es INMUTABLE y su `srate` está fijado en `11.52e6`. Esta tasa de muestreo solo permite un ancho de banda máximo de 10 MHz con un SCS de 15 kHz. Para operar con 20 MHz, se requeriría un `srate` de al menos `23.04e6` (para SCS 15 kHz) o `30.72e6` (para SCS 30 kHz), lo cual contradice la inmutabilidad de `ru_sdr`."
temperatura,0.6,11,39.78,True,False,False,,
temperatura,0.6,12,38.03,True,False,False,,
temperatura,0.6,13,27.23,True,False,False,,
temperatura,0.6,14,37.84,True,False,False,,
temperatura,0.6,15,28.48,True,False,False,,
temperatura,0.6,16,43.21,True,False,False,,
temperatura,0.6,17,39.4,True,False,False,,
temperatura,0.6,18,40.35,True,False,False,,
temperatura,0.6,19,27.44,True,False,False,,
temperatura,0.6,20,35.12,True,False,False,,
temperatura,0.7,1,35.18,True,False,False,,
temperatura,0.7,2,25.47,True,False,False,,
temperatura,0.7,3,43.82,True,False,False,,
temperatura,0.7,4,32.64,True,False,False,,
temperatura,0.7,5,31.45,True,False,False,,
temperatura,0.7,6,44.82,True,False,False,,
temperatura,0.7,7,49.13,True,False,False,,
temperatura,0.7,8,55.98,True,False,False,,
temperatura,0.7,9,39.06,True,False,False,,
temperatura,0.7,10,48.1,True,False,False,,
temperatura,0.7,11,41.86,True,False,False,,
temperatura,0.7,12,25.66,False,True,False,,"VALIDATION_ERROR: El ancho de banda de 20 MHz solicitado no es compatible con el sample rate fijo de 11.52 MHz en el bloque ru_sdr (Regla 6). Con 15 kHz de subcarrier spacing, 11.52 MHz de sample rate solo puede soportar un máximo de 64 PRBs, lo cual no es suficiente para 20 MHz de ancho de banda (106 PRBs)."
temperatura,0.7,13,44.44,True,False,False,,
temperatura,0.7,14,45.98,True,False,False,,
temperatura,0.7,15,38.58,True,False,False,,
temperatura,0.7,16,42.16,True,False,False,,
temperatura,0.7,17,40.42,True,False,False,,
temperatura,0.7,18,20.36,False,True,False,,"VALIDATION_ERROR: La configuración de ancho de banda de 20 MHz solicitada por el usuario no es compatible con la tasa de muestreo (srate) de 11.52 MHz especificada en el bloque 'ru_sdr' del CAG. Según la REGLA 6, el bloque 'ru_sdr' es INMUTABLE y debe ser copiado exactamente. Una tasa de muestreo de 11.52 MHz es típicamente adecuada para un ancho de banda de 10 MHz con 15 kHz de espaciado de subportadoras (SCS). Para un ancho de banda de 20 MHz, se requeriría una tasa de muestreo de aproximadamente 23.04 MHz."
temperatura,0.7,19,21.74,False,True,False,,"VALIDATION_ERROR: El ancho de banda solicitado (20 MHz) es inconsistente con el 'srate' (11.52e6) fijado en el bloque ru_sdr por la REGLA 6. Para un srate de 11.52e6, el ancho de banda máximo soportado es 10 MHz. Por favor, ajusta tu petición a 10 MHz o revisa la restricción del srate."
temperatura,0.7,20,41.64,True,False,False,,
topk,2,1,39.33,True,False,False,,
topk,2,2,35.19,False,True,False,,"VALIDATION_ERROR: La solicitud de 20 MHz de ancho de banda es incompatible con la REGLA 6 (Bloque ru_sdr [INMUTABLE]). El `srate` y `base_srate` en la plantilla `gnb_zmq.yaml` están fijados en 11.52e6, lo cual solo soporta 10 MHz de ancho de banda. No se pueden alterar estos valores según la regla."
topk,2,3,30.61,True,False,False,,
topk,2,4,30.05,True,False,False,,
topk,2,5,29.74,False,True,False,,"VALIDATION_ERROR: El ancho de banda de 20 MHz solicitado no es compatible con el sample rate fijo de 11.52 MHz en el bloque ru_sdr (Regla 6). Con 15 kHz de subcarrier spacing, 11.52 MHz de sample rate solo puede soportar un máximo de 64 PRBs, lo cual no es suficiente para 20 MHz de ancho de banda (106 PRBs)."
topk,2,6,47.95,True,False,False,,
topk,2,7,29.99,True,False,False,,
topk,2,8,36.36,True,False,False,,
topk,2,9,31.37,True,False,False,,
topk,2,10,41.68,True,False,False,,
topk,2,11,25.79,True,False,False,,
topk,2,12,36.29,True,False,False,,
topk,2,13,30.09,True,False,False,,
topk,2,14,27.68,True,False,False,,
topk,2,15,27.92,True,False,False,,
topk,2,16,31.48,True,False,False,,
topk,2,17,43.64,True,False,False,,
topk,2,18,39.43,False,True,False,,"VALIDATION_ERROR: El ancho de banda de 20 MHz solicitado no es compatible con el sample rate fijo de 11.52 MHz en el bloque ru_sdr (Regla 6). Con 15 kHz de subcarrier spacing, 11.52 MHz de sample rate solo puede soportar un máximo de 64 PRBs, lo cual no es suficiente para 20 MHz de ancho de banda (106 PRBs)."
topk,2,19,30.02,True,False,False,,
topk,2,20,40.05,True,False,False,,
topk,5,1,44.28,True,False,False,,
topk,5,2,34.52,True,False,False,,
topk,5,3,32.8,True,False,False,,
topk,5,4,35.58,True,False,False,,
topk,5,5,34.03,True,False,False,,
topk,5,6,30.62,True,False,False,,
topk,5,7,36.19,True,False,False,,
topk,5,8,27.01,True,False,False,,
topk,5,9,32.0,True,False,False,,
topk,5,10,39.47,True,False,False,,
topk,5,11,31.38,True,False,False,,
topk,5,12,32.68,True,False,False,,
topk,5,13,26.83,True,False,False,,
topk,5,14,48.89,True,False,False,,
topk,5,15,29.91,True,False,False,,
topk,5,16,33.26,True,False,False,,
topk,5,17,28.59,True,False,False,,
topk,5,18,32.25,True,False,False,,
topk,5,19,34.45,False,True,False,,"VALIDATION_ERROR: La solicitud de 20 MHz de ancho de banda es incompatible con la REGLA 6 (Bloque ru_sdr [INMUTABLE]). El `srate` y `base_srate` en la plantilla `gnb_zmq.yaml` están fijados en 11.52e6, lo cual solo soporta 10 MHz de ancho de banda. No se pueden alterar estos valores según la regla."
topk,5,20,50.91,True,False,False,,
topk,10,1,31.3,True,False,False,,
topk,10,2,47.24,True,False,False,,
topk,10,3,15.8,False,True,False,,"VALIDATION_ERROR: El ancho de banda de 20 MHz solicitado es incompatible con el bloque 'ru_sdr' inmutable del CAG, que tiene un 'srate' fijo de 11.52e6. Este 'srate' es adecuado para 10 MHz."
topk,10,4,34.94,True,False,False,,
topk,10,5,38.14,True,False,False,,
topk,10,6,31.56,True,False,False,,
topk,10,7,35.06,True,False,False,,
topk,10,8,38.65,True,False,False,,
topk,10,9,33.33,True,False,False,,
topk,10,10,45.37,True,False,False,,
topk,10,11,34.66,True,False,False,,
topk,10,12,33.23,True,False,False,,
topk,10,13,31.17,True,False,False,,
topk,10,14,27.48,True,False,False,,
topk,10,15,28.81,False,True,False,,"[ERROR API] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
topk,10,16,27.3,True,False,False,,
topk,10,17,36.45,True,False,False,,
topk,10,18,44.74,True,False,False,,
topk,10,19,34.87,True,False,False,,
topk,10,20,33.94,True,False,False,,
